,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,1958,TRON,TRX,tron,998,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87187003620.68466,87187042761.27992,True,,11,71659659264.0,9195181306.996603,,2024-07-02T16:03:00.000Z,0.12831740202839662,234857869.07583553,-7.6358,0.04845816,-0.11243078,5.64829503,11.86124289,4.04265621,9.19607025,11187609795.246666,0.4888,11187614817.67,,2024-07-02T16:03:00.000Z,,,,,,2024-07-02 16:05:20.859354+00:00
11,5805,Avalanche,AVAX,avalanche,750,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394175952.59293836,443522322.59293836,False,,12,,,,2024-07-02T16:03:00.000Z,28.29925385609521,265099028.77524102,-17.165,0.14607299,-5.0307042,10.37831438,-20.98521738,-19.46899756,-38.84407984,11154885346.395714,0.4874,20255154696.16,,2024-07-02T16:03:00.000Z,,,,,,2024-07-02 16:05:20.859354+00:00
12,5994,Shiba Inu,SHIB,shiba-inu,841,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270913703672.6,589519369905683.8,False,,13,,,,2024-07-02T16:03:00.000Z,1.7004843881083537e-05,158039911.1013492,-22.6333,-0.03944824,-0.46985771,-6.10736535,-31.69409281,-28.93014441,-36.71528019,10020459891.194403,0.4379,10024684850.12,,2024-07-02T16:03:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-02 16:05:20.859354+00:00
13,6636,Polkadot,DOT,polkadot-new,790,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1463704124.892085,9304698742.417456,,2024-07-02T16:04:00.000Z,6.356953283235071,191283774.67204395,15.6146,-0.71800471,0.11477931,6.92937797,-10.30551902,-12.55667544,-25.6256045,9141002786.674923,0.3994,9141002786.67,,2024-07-02T16:04:00.000Z,,,,,,2024-07-02 16:05:20.859354+00:00
14,1975,Chainlink,LINK,chainlink,1809,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-02T16:03:00.000Z,14.484880396148684,275854742.96255815,7.6916,0.42827438,0.81177064,2.71473576,-21.04269367,3.7607799,-19.08261504,8808255340.910164,0.385,14484880396.15,,2024-07-02T16:03:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-02 16:05:20.859354+00:00
0,1,Bitcoin,BTC,bitcoin,11491,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19719287.0,19719287.0,False,,1,,,,2024-07-02T16:03:00.000Z,61816.17448697136,22842152204.369102,-4.9972,-0.34219773,-1.93277215,-0.14290027,-9.23704502,0.02538656,-6.28890648,1218970885950.666,53.2617,1298139664226.4,,2024-07-02T16:03:00.000Z,,,,,,2024-07-02 16:05:23.830339+00:00
1,1027,Ethereum,ETH,ethereum,9116,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120191423.45770662,120191423.45770662,True,,2,,,,2024-07-02T16:03:00.000Z,3409.787743846391,10560228937.063196,-10.9274,0.01134494,-1.66793213,-0.36079801,-10.24561721,10.68821361,2.23384872,409827242621.5397,17.907,409827242621.54,,2024-07-02T16:03:00.000Z,,,,,,2024-07-02 16:05:23.830339+00:00
2,825,Tether USDt,USDT,tether,90752,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112787335849.3616,116076856617.66272,True,,3,,,,2024-07-02T16:03:00.000Z,0.9987250131037756,42152610715.054306,-5.9652,0.00058998,0.00612774,-0.08243495,-0.04194721,-0.14388892,-0.139121,112643533474.09361,4.9218,115928860146.52,,2024-07-02T16:03:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-02 16:05:23.830339+00:00
3,1839,BNB,BNB,bnb,2188,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147583081.63533872,147583081.63533872,False,,4,,,,2024-07-02T16:03:00.000Z,574.8830106769653,1512405602.554849,-9.9291,-0.17656767,-0.37240816,-0.49963256,-4.35599417,-0.57967875,3.23075715,84843006295.50787,3.7071,84843006295.51,,2024-07-02T16:03:00.000Z,,,,,,2024-07-02 16:05:23.830339+00:00
4,5426,Solana,SOL,solana,697,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,462779177.98345804,579382713.6129186,True,,5,,,,2024-07-02T16:03:00.000Z,148.12807103227803,1772716129.4669771,-5.0468,-0.0785174,-0.23100536,6.24773894,-10.27376153,4.08835494,-21.73870688,68550586948.59291,2.9952,85822843756.93,,2024-07-02T16:03:00.000Z,,,,,,2024-07-02 16:05:23.830339+00:00
